"State","Measure ID","Measure Name","Number of Hospitals Worse","Number of Hospitals Same","Number of Hospitals Better","Number of Hospitals Too Few","Footnote","Start Date","End Date","Number of Hospitals Fewer","Number of Hospitals Average","Number of Hospitals More","Number of Hospitals Too Small"
GA,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,106,0,9,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GA,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,3,39,0,40,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GA,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,40,2,40,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GA,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,4,76,3,27,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GA,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,57,0,46,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GA,READM_30_CABG,Rate of readmission for CABG,0,18,0,4,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GA,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,79,0,52,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GA,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,1,85,0,44,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GA,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,42,0,39,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GA,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),2,118,0,10,,07/01/2021,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GA,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,101,0,31,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GU,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5,07/01/2019,06/30/2022,Not Available,Not Available,Not Available,Not Available
GU,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5,07/01/2019,06/30/2022,Not Available,Not Available,Not Available,Not Available
GU,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5,07/01/2019,06/30/2022,Not Available,Not Available,Not Available,Not Available
GU,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",Not Available,Not Available,Not Available,Not Available,5,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GU,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,Not Available,Not Available,Not Available,Not Available,5,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GU,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,Not Available,Not Available,Not Available,Not Available,5,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GU,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,Not Available,Not Available,Not Available,Not Available,5,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GU,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GU,READM_30_CABG,Rate of readmission for CABG,Not Available,Not Available,Not Available,Not Available,5,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GU,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,Not Available,Not Available,Not Available,Not Available,5,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GU,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GU,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,Not Available,Not Available,Not Available,Not Available,5,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GU,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),Not Available,Not Available,Not Available,Not Available,5,07/01/2021,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GU,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
HI,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,0,4,2,8
HI,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,2,7,2,3
HI,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,0,9,3,3
HI,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,10,0,3,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
HI,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,9,0,5,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
HI,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,9,0,5,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
HI,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,10,0,2,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
HI,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,7,0,7,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
HI,READM_30_CABG,Rate of readmission for CABG,0,2,0,3,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
HI,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,6,0,9,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
HI,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,9,2,3,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
HI,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,4,0,7,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
HI,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),0,10,3,4,,07/01/2021,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
HI,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,12,0,3,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IA,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,3,15,3,81
IA,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,9,45,3,59
IA,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,14,75,4,23
IA,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,72,0,13,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IA,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,29,0,68,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IA,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,2,27,0,68,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IA,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,41,0,59,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IA,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,23,0,79,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IA,READM_30_CABG,Rate of readmission for CABG,0,9,0,2,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IA,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,33,0,84,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IA,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,55,2,59,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IA,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,33,0,43,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IA,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),0,106,6,4,,07/01/2021,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IA,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,93,0,23,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ID,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,4,4,0,21
ID,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,8,10,1,21
ID,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,10,16,1,15
ID,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,23,0,8,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ID,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,13,0,22,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ID,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,1,12,0,22,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ID,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,1,20,0,11,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ID,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,10,0,19,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ID,READM_30_CABG,Rate of readmission for CABG,0,5,0,0,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ID,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,13,0,28,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ID,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,17,2,21,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ID,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,19,0,14,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ID,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),0,33,6,4,,07/01/2021,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ID,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,26,1,15,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IL,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,2,53,13,86
IL,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,10,90,37,43
IL,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,20,88,46,26
IL,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,139,4,18,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IL,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,8,62,0,71,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IL,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,1,67,2,71,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IL,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,111,3,43,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IL,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,85,0,69,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IL,READM_30_CABG,Rate of readmission for CABG,0,41,0,14,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IL,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,124,0,55,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IL,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,4,132,1,43,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IL,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,1,87,1,47,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IL,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),15,155,0,6,,07/01/2021,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IL,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,3,151,0,26,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IN,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,8,23,8,60
IN,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,15,72,8,17
IN,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,13,75,11,14
IN,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,105,0,3,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IN,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,3,51,0,41,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IN,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,54,0,41,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IN,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,3,79,2,30,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IN,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,46,0,53,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IN,READM_30_CABG,Rate of readmission for CABG,0,25,0,3,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IN,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,80,0,32,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IN,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,1,94,0,17,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IN,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,58,1,34,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IN,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),3,111,3,3,,07/01/2021,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IN,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,98,1,14,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KS,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,3,16,0,67
KS,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,10,41,3,71
KS,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,19,65,3,40
KS,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,81,0,20,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KS,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,3,13,0,58,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KS,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,15,1,58,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KS,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,5,37,2,50,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KS,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,23,0,63,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KS,READM_30_CABG,Rate of readmission for CABG,0,13,0,1,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KS,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,40,0,82,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KS,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,53,1,71,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KS,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,38,2,17,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KS,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),0,119,5,10,,07/01/2021,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KS,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,87,0,40,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KY,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,2,18,8,47
KY,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,4,50,12,27
KY,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,5,53,23,12
KY,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,75,0,7,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KY,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,3,30,0,29,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KY,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,32,1,29,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KY,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,1,52,0,22,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KY,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,33,0,42,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KY,READM_30_CABG,Rate of readmission for CABG,0,14,0,3,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KY,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,1,58,0,33,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KY,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,65,1,27,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KY,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,30,0,27,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KY,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),2,85,2,3,,07/01/2021,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KY,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,81,0,12,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
LA,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,2,15,8,51
LA,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,5,51,8,34
LA,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,10,50,12,32
LA,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,79,0,9,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
LA,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,31,0,36,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
LA,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,31,0,36,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
LA,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,1,56,1,30,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
LA,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,1,32,0,43,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
LA,READM_30_CABG,Rate of readmission for CABG,0,21,0,5,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
LA,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,52,0,45,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
LA,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,2,62,0,34,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
LA,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,31,0,28,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
LA,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),4,97,1,13,,07/01/2021,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
LA,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,1,71,0,32,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MA,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,0,13,13,30
MA,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,1,31,24,2
MA,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,4,29,23,2
MA,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,53,2,0,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MA,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,2,36,0,16,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MA,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,1,35,2,16,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MA,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,1,49,4,2,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MA,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,2,29,0,25,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MA,READM_30_CABG,Rate of readmission for CABG,0,12,0,1,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MA,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,2,53,0,3,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MA,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,5,51,0,2,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MA,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,47,1,7,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MA,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),18,39,1,0,,07/01/2021,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MA,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,3,53,0,2,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MD,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,0,17,9,17
MD,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,1,32,10,4
MD,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,0,27,16,4
MD,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,39,0,4,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MD,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,3,20,0,18,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MD,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,23,0,18,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MD,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,2,41,0,1,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
